word1,word2,human_score
valoare,credință,3.43
înțelepciune,inteligență,6.03
ignoranță,inteligență,0.42
fericire,noroc,2.52
idee,plan,5.32
stare,emoție,5.38
fericire,pace,3.77
disperare,nenorocire,3.87
logică,aritmetică,2.73
negare,confesiune,0.35
discuție,critică,1.52
agresiune,ostilitate,4.3
isterie,confuzie,2.13
chimie,teorie,1.85
proces,verdict,2.67
confort,siguranță,5.18
încredere,sine,2.2
vedere,percepție,5.15
eră,deceniu,2.08
biografie,ficțiune,0.32
discuție,ceartă,2.38
cod,simbol,4.43
pericol,boală,2.42
accident,catastrofă,5.0
călătorie,excursie,8.02
activitate,mișcare,6.28
bârfă,știri,3.58
tată,dumnezeu,3.83
acțiune,curs,1.95
febră,boală,3.12
aviație,zbor,5.63
joc,acțiune,3.48
moleculă,aer,1.73
casă,stat,0.53
cuvânt,literatură,2.73
ziar,informație,3.55
comunicare,televizor,2.73
văr,unchi,1.32
autor,cititor,1.42
tip,partener,2.73
suprafață,colț,0.92
baladă,cântec,5.1
perete,decorațiune,1.52
cuvânt,pagină,1.88
politician,președinte,3.62
președinte,primar,2.1
carte,eseu,2.27
bărbat,războinic,2.37
articol,revistă,3.18
mulțime,paradă,3.27
culoar,hol,8.12
șold,buză,0.42
carte,articol,1.92
cameră,celulă,3.12
cutie,cabină,1.42
membru,picior,5.47
ficat,plămân,1.48
clasă,hol,0.47
munte,terasă,0.63
mașină,lift,0.22
pat,canapea,3.2
rinichi,organ,4.5
măr,sos,0.22
mașină,furtun,0.5
tutun,țigară,6.13
student,profesor,1.95
bebeluș,fiică,2.2
pipă,trabuc,4.43
lapte,suc,0.72
cutie,trabuc,0.97
apartament,hotel,1.63
ceașcă,con,0.47
cal,bou,0.92
gâtlej,nas,1.0
os,cot,2.05
șuncă,fasole,0.72
ceașcă,borcan,0.85
dovadă,fapt,5.18
programare,angajament,2.98
cuvânt,indiciu,1.92
autor,creator,7.42
atom,carbon,2.2
arhiepiscop,episcop,4.22
literă,paragraf,1.63
pagină,paragraf,2.33
clopotniță,capelă,2.2
mușchi,os,1.07
mușchi,limbă,3.97
băiat,soldat,2.3
burtă,abdomen,6.2
tip,fată,0.38
pat,scaun,0.92
armă,cuțit,4.12
sticlă,recipient,4.87
găină,curcan,1.6
carne,pâine,0.63
braț,os,1.42
măr,lămâie,1.03
agonie,supărare,4.12
temă,sarcină,6.52
noapte,zori,0.47
cină,supă,1.63
vițel,taur,2.95
zăpadă,furtună,1.23
unghie,mână,1.73
câine,cal,0.53
braț,gât,0.72
minge,mănușă,0.42
gripă,febră,3.4
taxă,salariu,0.53
nerv,creier,2.77
bestie,animal,4.9
cină,pui,1.53
fată,slujnică,2.13
copil,băiat,3.58
alcool,vin,4.78
nas,gură,1.45
stradă,mașină,1.45
sonerie,ușă,2.02
cutie,pălărie,0.38
credință,părere,3.58
prejudecată,opinie,4.18
atenție,conștientizare,4.57
mânie,stare,2.98
eleganță,stil,6.48
frumusețe,vârstă,1.6
carte,temă,1.48
prietenă,mamă,2.58
vitamină,fier,2.95
mașină,fabrică,1.38
pact,condiție,3.83
capitol,alegere,0.72
aritmetică,ritm,0.1
câștigător,prezență,0.43
credință,floare,0.03
câștigător,scop,1.17
alegere,stare,0.78
imn,cucerire,0.78
rezistență,elastic,1.85
închisoare,alegere,0.38
condiție,băiat,0.22
floare,rezistență,0.1
gaură,înțelegere,0.0
doctor,calm,1.35
frăție,ușă,0.03
îndatorire,femeie,0.97
frăție,baseball,0.6
cent,mărime,0.47
prezență,ușă,0.15
sarcină,autostradă,0.13
lichior,secol,0.07
sarcină,pai,0.0
insulă,sarcină,0.0
noapte,capitol,0.25
poluare,președinte,0.35
dietă,măr,1.88
cent,soție,0.03
capitol,coadă,0.1
curs,stomac,0.15
imn,pai,0.0
dentist,colonel,0.25
soție,pai,0.0
gaură,soție,0.25
elev,președinte,0.25
baie,soție,0.13
oameni,cent,0.18
formulă,jurnal,0.47
femeie,blană,0.92
armă,zori,0.03
masă,talie,0.35
lichior,trupă,0.1
stomac,stare,0.67
armă,blană,0.25
autocar,baseball,0.35
punte,șoarece,0.15
orez,băiat,0.0
oameni,armă,1.07
stâncă,coadă,0.03
gleznă,fereastră,0.07
prințesă,insulă,0.43
container,șoarece,1.1
oameni,balon,0.25
dolar,oameni,0.85
baie,balon,0.13
stomac,dormitor,0.03
bicicletă,dormitor,0.0
buștean,baie,0.0
castron,coadă,0.07
lua,fura,4.05
asculta,auzi,6.38
gândi,justifica,3.12
pieri,dispărea,7.13
înmulți,împărți,0.6
pleda,implora,1.95
proteja,apăra,9.0
ucide,distruge,6.17
crea,face,8.37
accepta,respinge,0.38
ignora,evita,7.23
căra,aduce,5.88
pleca,intra,0.28
alege,vota,7.55
pierde,rata,6.8
încuraja,descuraja,0.35
obține,realiza,6.77
face,construi,7.48
informa,notifica,6.82
primi,da,0.78
împrumuta,cerși,1.0
lua,obține,4.78
sfătui,recomanda,7.52
imita,portretiza,3.97
câștiga,reuși,5.88
saluta,întâlni,2.17
consimți,contrazice,0.57
distruge,face,0.35
salva,proteja,5.43
da,împrumuta,5.28
înțelege,ști,3.83
lua,primi,3.2
accepta,recunoaște,5.0
decide,alege,6.38
accepta,crede,3.58
ține,poseda,5.43
hoinări,cutreiera,9.33
reuși,rata,0.13
cheltui,economisi,0.13
veni,participa,2.62
ști,crede,2.52
face,câștiga,2.08
uita,ignora,1.92
înmulți,aduna,2.52
micșora,crește,0.13
sosi,pleca,0.13
reuși,încerca,1.53
accepta,nega,0.15
sosi,veni,6.98
consimți,refuza,0.38
trimite,primi,0.18
câștiga,domina,3.12
aduna,împărți,0.57
ucide,sugruma,4.53
achiziționa,obține,4.58
pleca,rămâne,0.18
merge,intra,1.17
lua,căra,2.58
uita,învăța,0.43
numi,alege,5.75
lua,livra,0.92
vorbi,auzi,0.95
analiza,evalua,7.48
argumenta,justifica,8.58
pierde,ține,0.25
compara,analiza,5.75
dezorganiza,organiza,0.22
merge,permite,0.5
lua,poseda,3.18
învăța,asculta,2.8
distruge,construi,0.35
crea,construi,7.48
fura,cumpăra,0.13
ucide,spânzura,4.18
uita,ști,0.32
crea,imagina,5.78
face,întâmpla,2.8
câștiga,realiza,4.28
da,nega,0.07
merita,câștiga,2.3
obține,pune,0.63
localiza,găsi,7.2
apărea,participa,1.88
ști,înțelege,4.43
satisface,mulțumi,8.18
prețui,ține,4.3
învinge,domina,5.53
coopera,participa,4.82
obține,încerca,1.7
eșua,descuraja,1.67
începe,renunța,0.18
spune,participa,0.97
veni,aduce,0.85
declara,anunța,6.67
citi,înțelege,2.37
lua,lăsa,0.35
proclama,anunța,5.95
achiziționa,obține,5.07
încheia,decide,2.52
mulțumi,pleda,1.1
argumenta,demonstra,8.15
cere,pleda,1.92
găsi,dispărea,0.25
inspecta,examina,8.68
verifica,justifica,2.33
presupune,prezice,4.65
învăța,evalua,1.35
argumenta,justifica,8.33
face,deveni,2.95
obține,reuși,4.57
da,pune,0.78
înțelege,asculta,3.02
împrumuta,vinde,0.43
păstra,proteja,3.4
explica,demonstra,7.02
consimți,mulțumi,1.07
ierta,uita,2.2
clarifica,explica,8.2
înțelege,ierta,2.8
reaminti,uita,0.35
ajunge,rămâne,0.57
înțelege,descoperi,2.3
necesita,întreba,1.13
ignora,cere,0.13
gândi,întreba,1.45
respinge,evita,5.42
argumenta,convinge,5.5
urmări,convinge,1.48
accepta,ierta,2.95
face,renunța,0.13
investiga,examina,8.23
discuta,explica,3.9
datora,împrumuta,1.52
explora,descoperi,6.2
retrage,respinge,2.42
păstra,împrumuta,0.38
implora,cere,5.18
aranja,organiza,8.18
reduce,micșora,8.72
vorbi,recunoaște,1.28
da,împrumuta,5.67
ucide,apăra,0.13
dispărea,micșora,1.35
livra,căra,3.52
respira,îneca,0.1
recunoaște,notifica,1.45
deveni,părea,0.75
pretinde,părea,5.1
realiza,deveni,3.33
determina,prezice,2.42
mulțumi,distra,1.57
rămâne,reține,2.63
imagina,portretiza,4.93
uita,reține,0.18
vrea,alege,2.52
pierde,primi,0.25
deveni,apărea,1.13
lăsa,ignora,3.52
accepta,recomanda,1.28
pleca,cutreiera,5.22
păstra,da,0.18
da,permite,2.37
aduce,trimite,0.6
absorbi,învăța,3.9
achiziționa,găsi,1.28
pleca,apărea,0.25
crea,distruge,0.22
obține,cumpăra,3.33
înlocui,repara,2.1
accepta,livra,0.75
atașa,uni,6.38
pune,atârna,2.62
merge,vinde,0.32
da,fura,0.22
adăuga,construi,1.57
aduce,repara,0.32
înțelege,satisface,1.38
portretiza,decide,0.35
organiza,deveni,0.53
da,ști,0.25
spune,verifica,0.85
aranja,necesita,0.92
împrumuta,vrea,0.97
investiga,urmări,6.6
ignora,explora,0.1
intra,datora,0.35
portretiza,notifica,0.53
reaminti,vinde,0.18
absorbi,poseda,1.42
uni,achiziționa,0.38
trimite,participa,0.57
absorbi,retrage,0.92
participa,sosi,1.17
