POS	word_en_1	word_en_2	word_ro_1	word_ro_2	ro pair accept	conc(w1)	conc(w2)	en human  scores	ro human scores	ro human scores specialists	Corola (400.5)	Corola (300.20)	Facebook	Conll (2017)	path (ro)	lch (ro)	wup  (ro)	path (en)	lch (en)	wup (en)
N	world	globe	lume	planetă	1	4.36	4.59	6.67	4.82	4.17	0.67	0.68	0.47	0.54	0.2	2.68	0.67	1	3.64	1
N	leg	arm	picior	braț	1	4.83	4.96	2.88	1.45	1.25	0.54	0.61	0.27	0.56	0.25	3	0.86	0.33	2.54	0.89
N	woman	man	femeie	bărbat	1	4.46	4.79	3.33	2.02	2.5	0.78	0.79	0.61	0.68	0.25	3	0.83	0.33	2.54	0.71
N	horse	colt	cal	mânz	1	5	4.96	7.07	4.97	5.83	0.54	0.55	0.39	0.66	0.25	3	0.48	0.09	1.24	0.58
N	actress	actor	actriță	actor	1	4.54	4.57	7.12	4.18	3.75	0.62	0.63	0.58	0.73	0.33	3.42	0.94	0.5	2.94	0.95
N	teacher	instructor	profesor	instructor	1	4.52	4.26	9.25	5.92	7.5	0.45	0.5	0.53	0.62	0.12	2	0.62	1	3.64	1
N	movie	film	film	peliculă	1	4.59	4.71	8.87	7.38	8.33	0.61	0.59	0.46	0.5	1	4	1	1	3.64	1
N	bird	hawk	pasăre	șoim	1	5	4.93	7.85	4.08	2.92	0.45	0.52	0.41	0.72	0.25	3	0.89	0.33	2.54	0.91
N	word	dictionary	cuvânt	dicționar	1	3.56	4.62	3.68	2.87	1.67	0.44	0.48	0.37	0.49	0.07	1.09	0.11	0.06	0.75	0.11
N	money	salary	bani	salariu	1	4.54	3.69	7.88	4.33	4.58	0.44	0.47	0.4	0.47	0.1	1.68	0.5	0.1	1.34	0.47
N	dog	cat	câine	pisică	1	4.85	4.86	1.75	1.52	1.25	0.66	0.68	0.49	0.88	0.2	2.68	0.83	0.2	2.03	0.86
N	area	region	zonă	regiune	1	3.72	3.19	9.47	8.33	9.17	0.7	0.71	0.35	0.54	1	4	1	1	3.64	1
N	navy	army	flotă	armată	1	3.93	4.7	6.43	4.4	4.58	0.53	0.55	0.4	0.74	0.33	3.42	0.93	0.33	2.54	0.89
N	book	literature	carte	literatură	1	4.9	4.1	7.53	3.48	3.33	0.5	0.55	0.41	0.49	0.2	2.68	0.77	0.25	2.25	0.77
N	sunset	sunrise	apus	răsărit	1	4.54	4.69	2.47	1.42	2.08	0.83	0.88	0.58	0.72	0.25	3	0.9	0.33	2.54	0.9
N	child	adult	copil	adult	1	4.78	4.4	2.98	1.1	1.25	0.6	0.62	0.66	0.66	0.25	3	0.83	0.33	2.54	0.75
N	cow	cattle	vacă	cireadă	1	4.96	4.64	9.52	3.02	2.5	0.46	0.54	0.34	0.73	0.33	3.42	0.97	0.5	2.94	0.97
N	book	story	carte	poveste	1	4.9	3.3	5.63	3.58	2.5	0.52	0.56	0.54	0.55	0.14	2.19	0.67	0.2	2.03	0.71
N	winter	summer	iarnă	vară	1	3.84	3.64	2.38	1.2	2.08	0.74	0.79	0.59	0.92	0.25	3	0.86	0.33	2.54	0.86
N	tree	maple	copac	arțar	1	5	4.46	5.53	4.25	2.5	0.51	0.56	0.3	0.53	0.25	3	0.89	0.33	2.54	0.91
N	bed	bedroom	pat	dormitor	1	5	4.9	3.4	2.8	1.25	0.68	0.74	0.59	0.78	0.12	2	0.53	0.17	1.85	0.67
N	roof	ceiling	acoperiș	tavan	1	4.79	4.85	7.58	4.65	4.17	0.58	0.62	0.27	0.58	0.14	2.19	0.55	1	3.64	1
N	disease	infection	boală	infecție	1	3.45	4.1	7.15	5.25	4.58	0.51	0.57	0.46	0.82	0.2	2.68	0.84	0.25	2.25	0.84
N	arm	shoulder	braț	umăr	1	4.96	4.93	4.85	2.95	2.08	0.72	0.75	0.36	0.75	0.14	2.19	0.55	0.33	2.54	0.88
N	sheep	lamb	oaie	miel	1	4.9	4.97	8.42	3.93	2.92	0.69	0.72	0.55	0.82	0.25	3	0.8	0.2	2.03	0.67
N	lady	gentleman	doamnă	gentleman	1	4.33	3.57	3.42	1.82	1.67	0.36	0.44	0.25	0.36	0.17	2.42	0.62	0.2	2.03	0.6
N	boat	anchor	barcă	ancoră	1	4.93	4.77	2.25	2.38	1.67	0.47	0.48	0.35	0.71	0.1	1.68	0.5	0.11	1.44	0.6
N	priest	monk	preot	călugăr	1	4.77	4.35	6.28	4.47	3.75	0.67	0.72	0.34	0.77	0.14	2.19	0.67	0.14	1.69	0.6
N	anger	fury	mânie	furie	1	2.41	2.89	8.73	9.25	10	0.78	0.82	0.45	0.7	1	4	1	0.5	2.94	0.93
N	date	calendar	dată	calendar	1	3.9	4.62	4.42	3.77	1.67	0.23	0.26	0.08	0.28	0.14	2.19	0.62	0.11	1.44	0.4
N	sea	ocean	mare	ocean	1	4.79	4.86	8.27	4.15	6.25	0.25	0.28	0.34	0.28	0.25	3	0.33	1	3.64	1
N	second	minute	secundă	minut	1	3.3	3.04	4.62	2.67	2.92	0.57	0.58	0.54	0.57	0.33	3.42	0.89	1	3.64	1
N	wood	log	lemn	buștean	1	4.85	4.96	7.3	6.1	7.08	0.44	0.49	0.32	0.45	0.33	3.42	0.91	0.5	2.94	0.94
N	mud	dirt	noroi	mizerie	1	4.86	4.86	7.32	5.25	6.25	0.47	0.51	0.43	0.61	0.14	2.19	0.55	0.5	2.94	0.94
N	hallway	corridor	hol	coridor	1	4.74	4.72	9.28	8.97	10	0.69	0.76	0.51	0.67	0.33	3.42	0.93	0.5	2.94	0.95
N	way	manner	mod	manieră	1	2.34	1.62	7.62	8.2	10	0.42	0.42	0.49	0.45	1	4	1	1	3.64	1
N	mouse	cat	șoarece	pisică	1	4.83	4.86	1.12	1.63	1.25	0.54	0.6	0.4	0.73	0.14	2.19	0.78	0.2	2.03	0.81
N	cop	sheriff	polițist	șerif	1	4.3	4.5	9.05	5.72	6.25	0.48	0.5	0.29	0.72	0.25	3	0.89	0.25	2.25	0.87
N	death	burial	moarte	înmormântare	1	3.73	3.93	4.93	4.57	2.92	0.48	0.51	0.37	0.47	0.1	1.68	0.5	0.12	1.56	0.53
N	music	melody	muzică	melodie	1	4.31	3.71	6.98	7.08	6.25	0.66	0.68	0.47	0.58	0.33	3.42	0.91	0.5	2.94	0.91
N	beer	alcohol	bere	alcool	1	4.88	4.76	7.5	4.68	2.5	0.5	0.53	0.5	0.64	0.25	3	0.83	0.33	2.54	0.9
N	mouth	lip	gură	buză	1	4.74	4.96	7.1	3.77	2.5	0.53	0.56	0.44	0.6	0.12	2	0.5	1	3.64	1
N	storm	hurricane	furtună	uragan	1	4.7	4.59	6.38	6.07	6.67	0.66	0.69	0.49	0.69	0.2	2.68	0.8	0.25	2.25	0.84
N	tax	income	taxă	venit	1	3.89	3.07	2.38	1.2	0.83	0.21	0.28	0.11	0.24	0.1	1.68	0.5	0.1	1.34	0.47
N	flower	violet	floare	violetă	1	5	4.48	6.95	3.58	2.5	0.56	0.59	0.35	0.46	0.17	2.42	0.71	0.14	1.69	0.73
N	paper	cardboard	hârtie	carton	1	4.93	4.9	5.38	3.08	2.5	0.62	0.63	0.47	0.72	0.33	3.42	0.89	0.5	2.94	0.93
N	floor	ceiling	podea	tavan	1	4.8	4.85	1.73	1.07	0.83	0.67	0.75	0.57	0.75	0.14	2.19	0.62	0.33	2.54	0.92
N	beach	seashore	plajă	țărm	1	4.79	4.63	8.33	6.03	6.25	0.55	0.57	0.28	0.6	0.25	3	0.67	0.25	2.25	0.73
N	rod	curtain	galerie	perdea	1	4.43	4.82	3.03	2.52	3.33	0.4	0.46	0.22	0.41	0.1	1.68	0.33	0.2	2.03	0.75
N	street	alley	stradă	alee	1	4.75	4.82	5.48	6.25	4.58	0.6	0.66	0.41	0.53	0.33	3.42	0.93	0.5	2.94	0.95
N	boat	deck	barcă	punte	1	4.93	4.77	4.28	1.85	0.83	0.5	0.55	0.37	0.38	0.1	1.68	0.47	0.17	1.85	0.74
N	car	horn	mașină	claxon	1	4.89	5	2.57	2.52	1.25	0.51	0.57	0.24	0.35	0.2	2.68	0.77	0.17	1.85	0.71
N	friend	guest	prieten	oaspete	1	3.07	3.83	4.25	2.3	1.25	0.46	0.5	0.35	0.54	0.17	2.42	0.71	0.2	2.03	0.67
N	employer	employee	angajator	angajat	1	3.81	4.1	3.65	1.77	1.67	0.51	0.53	0.53	0.66	0.17	2.42	0.71	0.2	2.03	0.67
N	victory	triumph	victorie	triumf	1	2.55	2.17	8.98	9.37	9.58	0.5	0.54	0.5	0.4	1	4	1	1	3.64	1
N	door	doorway	ușă	prag	1	4.81	4.75	5.4	2.95	2.08	0.41	0.42	0.18	0.36	1	4	1	1	3.64	1
N	motel	inn	motel	han	1	4.93	4.64	8.17	5.72	8.33	0.34	0.37	0.32	0.39	1	4	1	0.25	2.25	0.84
N	nail	thumb	unghie	deget	1	4.93	4.96	3.55	2.95	2.08	0.52	0.59	0.42	0.72	0.07	1.09	0.15	0.12	1.56	0.59
N	band	orchestra	trupă	orchestră	1	4.68	4.79	7.08	5.85	8.33	0.56	0.62	0.35	0.65	0.25	3	0.86	0.33	2.54	0.86
N	book	bible	carte	biblie	1	4.9	4.61	5	3.37	2.92	0.47	0.51	0.54	0.56	0.2	2.68	0.84	1	3.64	1
N	business	industry	afacere	industrie	1	3.28	3.29	7.02	3.48	2.08	0.37	0.44	0.45	0.46	0.2	2.68	0.8	0.5	2.94	0.95
N	winter	season	iarnă	anotimp	1	3.84	3.32	6.27	3.55	2.5	0.52	0.57	0.47	0.55	0.33	3.42	0.92	0.5	2.94	0.92
N	decade	century	deceniu	secol	1	3.19	2.83	3.48	2.1	1.67	0.77	0.8	0.75	0.87	0.25	3	0.83	0.33	2.54	0.88
N	alcohol	gin	alcool	gin	1	4.76	4.46	8.65	4.33	3.33	0.41	0.48	0.36	0.47	0.25	3	0.83	0.33	2.54	0.9
N	hat	coat	pălărie	palton	1	4.88	4.97	2.67	1.23	1.25	0.63	0.74	0.33	0.59	0.14	2.19	0.67	0.2	2.03	0.76
N	window	door	fereastră	ușă	1	4.86	4.81	3.33	1.13	1.25	0.69	0.74	0.29	0.77	0.17	2.42	0.67	0.2	2.03	0.75
N	house	apartment	casă	apartament	1	5	4.9	5.8	4.57	6.25	0.47	0.53	0.29	0.48	0.2	2.68	0.77	0.25	2.25	0.82
N	glass	crystal	sticlă	cristal	1	4.82	4.58	6.27	3.65	4.58	0.62	0.67	0.48	0.58	0.25	3	0.75	0.33	2.54	0.9
N	creator	maker	creator	făcător	1	3.07	3.9	9.62	8.12	8.33	0.41	0.45	0.32	0.45	0.33	3.42	0.92	1	3.64	1
N	arm	muscle	braț	mușchi	1	4.96	4.5	3.72	2.87	2.92	0.37	0.42	0.24	0.7	0.11	1.83	0.46	0.12	1.56	0.59
N	bubble	suds	balon	clăbuc	1	4.6	4.59	8.57	4.9	5.42	0.35	0.39	0.14	0.42	0.12	2	0.11	0.33	2.54	0.9
N	bread	flour	pâine	făină	1	4.92	4.97	3.33	2.58	2.08	0.64	0.73	0.51	0.83	0.12	2	0.2	0.25	2.25	0.8
N	death	tragedy	moarte	tragedie	1	3.73	2.07	5.8	4.22	3.33	0.44	0.48	0.39	0.55	0.14	2.19	0.67	0.17	1.85	0.67
N	absence	presence	absență	prezență	1	2.31	2.72	0.4	0.5	0.42	0.46	0.47	0.44	0.68	0.2	2.68	0.8	0.2	2.03	0.62
N	gun	cannon	armă	tun	1	4.83	4.79	5.68	3.62	2.5	0.43	0.42	0.21	0.5	0.25	3	0.88	0.5	2.94	0.95
N	ball	basket	minge	coș	1	5	5	1.67	1.8	0.42	0.54	0.53	0.21	0.35	0.2	2.68	0.8	0.25	2.25	0.84
N	hose	garden	furtun	grădină	1	4.87	4.73	1.67	1.7	0	0.37	0.41	0.15	0.31	0.08	1.3	0.14	0.08	1.07	0.33
N	church	choir	biserică	cor	1	4.9	4.34	2.95	2.63	1.25	0.33	0.39	0.35	0.32	0.14	2.19	0.67	0.17	1.85	0.71
N	tower	bell	turn	clopot	1	4.76	4.96	1.9	2.23	1.25	0.48	0.53	0.45	0.63	0.17	2.42	0.62	0.2	2.03	0.71
N	father	parent	tată	părinte	1	4.52	4.56	7.07	7.8	8.75	0.61	0.63	0.4	0.71	1	4	1	0.5	2.94	0.96
N	school	grade	școală	clasă	1	4.79	3	4.42	3.4	2.92	0.55	0.58	0.41	0.64	0.17	2.42	0.67	0.2	2.03	0.67
N	parent	adult	părinte	adult	1	4.56	4.4	5.37	4.78	3.75	0.32	0.32	0.39	0.3	0.2	2.68	0.77	0.25	2.25	0.8
N	bar	jail	gratie	închisoare	1	4.67	4.83	1.9	3.87	2.08	0.19	0.22	0.21	0.17	0.14	2.19	0.62	0.12	1.56	0.63
N	car	highway	mașină	autostradă	1	4.89	4.72	3.4	2.45	0.83	0.43	0.5	0.15	0.63	0.12	2	0.5	0.12	1.56	0.59
N	dictionary	definition	dicționar	definiție	1	4.62	3.07	6.25	3.62	2.5	0.34	0.38	0.21	0.54	0.06	0.91	0.1	0.05	0.69	0.1
N	door	cellar	ușă	pivniță	1	4.81	4.68	1.97	1.2	0	0.51	0.6	0.29	0.79	0.17	2.42	0.71	0.25	2.25	0.8
N	army	legion	armată	legiune	1	4.7	2.69	5.95	5.53	6.25	0.63	0.68	0.46	0.67	0.33	3.42	0.93	0.5	2.94	0.94
N	metal	aluminum	metal	aluminiu	1	4.87	4.88	7.25	4	3.33	0.57	0.62	0.59	0.64	0.33	3.42	0.89	0.5	2.94	0.93
N	chair	bench	scaun	bancă	1	4.58	4.87	6.67	2.98	4.17	0.28	0.35	0.3	0.22	0.33	3.42	0.93	0.33	2.54	0.9
N	cloud	fog	nor	ceață	1	4.54	4.66	6	2.77	3.33	0.55	0.6	0.25	0.58	0.25	3	0.83	0.33	2.54	0.88
N	boy	son	băiat	fiu	1	4.76	4.14	6.75	5.25	8.33	0.52	0.61	0.23	0.48	1	4	1	1	3.64	1
N	water	ice	apă	gheață	1	5	4.89	6.47	2.7	1.67	0.53	0.56	0.3	0.67	0.14	2.19	0.55	0.2	2.03	0.62
N	bed	blanket	pat	pătură	1	5	5	3.02	2.2	0.42	0.56	0.6	0.27	0.51	0.2	2.68	0.67	0.5	2.94	0.92
N	attorney	lawyer	avocat	jurist	1	4.52	4.7	9.35	5.42	6.67	0.48	0.49	0.66	0.71	0.2	2.68	0.77	1	3.64	1
N	area	zone	regiune	zonă	1	3.72	3.07	8.33	8.87	10	0.7	0.71	0.35	0.54	1	4	1	0.25	2.25	0.77
N	business	company	afacere	companie	1	3.28	4.11	9.02	5.43	4.58	0.48	0.53	0.51	0.55	0.33	3.42	0.93	0.25	2.25	0.77
N	sweater	jacket	pulover	jachetă	1	4.78	4.86	7.15	2.52	1.67	0.71	0.77	0.54	0.64	0.14	2.19	0.71	0.2	2.03	0.82
N	money	capital	bani	capital	1	4.54	4.1	6.67	6.67	7.08	0.3	0.33	0.36	0.37	0.25	3	0.83	0.17	1.85	0.62
N	alcohol	cocktail	alcool	cocktail	1	4.76	4.4	6.73	3.87	2.08	0.29	0.38	0.43	0.48	0.25	3	0.83	0.33	2.54	0.9
N	yard	inch	yard	inch	1	4.82	4.37	3.78	3.05	1.67	0.28	0.34	0.25	0.24	0.25	3	0.86	0.33	2.54	0.86
N	molecule	atom	moleculă	atom	1	3.27	3.34	6.45	4.33	4.58	0.67	0.7	0.46	0.63	0.11	1.83	0.25	1	3.64	1
N	meal	dinner	masă	cină	1	4.62	4.5	7.15	4.53	4.58	0.49	0.55	0.43	0.68	0.33	3.42	0.91	0.5	2.94	0.93
N	eye	tear	ochi	lacrimă	1	4.9	4.56	3.55	2.55	1.25	0.55	0.6	0.38	0.54	0.08	1.3	0.27	0.14	1.69	0.57
N	god	devil	dumnezeu	diavol	1	2.07	3.41	1.8	0.7	0.83	0.63	0.65	0.46	0.82	0.2	2.68	0.82	0.33	2.54	0.88
N	loop	belt	laț	sfoară	1	4.26	4.9	3.1	3.9	2.92	0.47	0.57	0.44	0.77	0.17	2.42	0.67	0.5	2.94	0.95
N	rat	mouse	șobolan	șoarece	1	4.85	4.83	7.78	4.87	4.17	0.73	0.78	0.48	0.82	0.25	3	0.91	0.33	2.54	0.92
N	car	cab	mașină	taxi	1	4.89	4.88	7.42	4.62	3.75	0.29	0.41	0.28	0.48	0.33	3.42	0.95	0.5	2.94	0.96
N	cat	lion	pisică	leu	1	4.86	4.96	6.75	1.95	0.83	0.35	0.39	0.3	0.36	0.33	3.42	0.96	0.5	2.94	0.97
N	size	magnitude	mărime	magnitudine	1	3.13	2.43	6.33	4.9	6.67	0.43	0.47	0.26	0.43	0.33	3.42	0.91	0.5	2.94	0.91
N	reality	fantasy	realitate	fantezie	1	1.72	1.59	1.03	0.5	0.42	0.49	0.49	0.53	0.52	0.14	2.19	0.67	0.17	1.85	0.67
N	door	gate	ușă	poartă	1	4.81	4.96	5.25	5.38	4.58	0.38	0.43	0.22	0.59	1	4	1	0.33	2.54	0.9
N	bone	jaw	os	maxilar	1	4.9	4.87	4.17	3.08	1.67	0.43	0.52	0.28	0.49	0.33	3.42	0.93	0.5	2.94	0.95
N	cereal	wheat	cereală	grâu	1	4.83	4.89	3.75	4.82	2.92	0.6	0.66	0.38	0.75	0.33	3.42	0.91	0.5	2.94	0.96
N	house	key	casă	cheie	1	5	4.89	1.9	2.17	0.83	0.22	0.26	0.05	0.33	0.12	2	0.57	0.14	1.69	0.62
N	blood	flesh	sânge	carne	1	4.86	4.59	4.28	1.82	0.42	0.44	0.45	0.23	0.37	0.11	1.83	0.22	0.1	1.34	0.47
N	door	corridor	ușă	coridor	1	4.81	4.72	3.73	1.25	0.83	0.63	0.69	0.17	0.55	0.14	2.19	0.62	0.14	1.69	0.67
N	god	spirit	dumnezeu	duh	1	2.07	1.6	7.3	4.87	3.75	0.63	0.7	0.31	0.81	0.17	2.42	0.78	0.33	2.54	0.88
N	capability	competence	capacitate	competență	1	1.93	1.78	7.62	8.02	7.92	0.32	0.32	0.28	0.33	0.2	2.68	0.77	0.33	2.54	0.83
N	abundance	plenty	abundență	belșug	1	2.21	2.39	8.97	9.4	9.58	0.58	0.62	0.43	0.83	1	4	1	0.5	2.94	0.94
N	sofa	chair	canapea	scaun	1	4.9	4.58	6.67	3.2	2.5	0.64	0.69	0.5	0.53	0.33	3.42	0.93	0.33	2.54	0.9
N	wall	brick	zid	cărămidă	1	4.86	4.83	4.68	2.95	1.67	0.61	0.64	0.35	0.66	0.14	2.19	0.5	0.2	2.03	0.71
N	horn	drum	corn	tobă	1	5	4.96	2.68	1.32	0.42	0.35	0.41	0.19	0.4	0.14	2.19	0.67	0.2	2.03	0.78
N	organ	liver	organ	ficat	1	4.77	4.68	6.15	3.47	1.67	0.25	0.23	0.36	0.44	0.25	3	0.8	0.33	2.54	0.86
N	strength	might	tărie	putere	1	2.96	2.32	7.07	7.98	8.75	0.43	0.4	0.23	0.49	1	4	1	0.5	2.94	0.91
N	phrase	word	sintagmă	cuvânt	1	2.86	3.56	5.48	3.77	3.33	0.41	0.46	0.26	0.53	0.25	3	0.83	0.25	2.25	0.77
N	band	parade	trupă	paradă	1	4.68	4.54	3.92	3.12	3.33	0.45	0.44	0.23	0.6	0.12	2	0.43	0.17	1.85	0.62
N	stomach	waist	stomac	talie	1	4.89	4.72	5.9	1.8	0.83	0.24	0.27	0.19	0.24	0.14	2.19	0.55	0.25	2.25	0.77
N	cloud	storm	nor	furtună	1	4.54	4.7	5.6	2.27	0.42	0.52	0.55	0.39	0.6	0.25	3	0.83	0.33	2.54	0.88
N	joy	pride	bucurie	mândrie	1	2.37	1.66	5	2.67	0.42	0.61	0.68	0.47	0.63	0.2	2.68	0.77	0.25	2.25	0.77
N	noise	rattle	zgomot	tărăboi	1	3.52	4.07	6.17	7.63	8.33	0.43	0.48	0.29	0.39	1	4	1	0.5	2.94	0.93
N	rain	mist	ploaie	ceață	1	4.97	4.51	5.97	1.7	2.08	0.6	0.66	0.21	0.61	0.11	1.83	0.53	0.11	1.44	0.6
N	beer	beverage	bere	băutură	1	4.88	4.6	5.42	4	2.5	0.65	0.67	0.48	0.66	0.2	2.68	0.73	0.25	2.25	0.84
N	man	uncle	bărbat	unchi	1	4.79	4.24	3.92	2.98	0.83	0.48	0.54	0.19	0.42	0.17	2.42	0.75	0.2	2.03	0.67
N	apple	juice	măr	suc	1	5	4.89	2.88	1.92	0.83	0.46	0.49	0.2	0.52	0.11	1.83	0.18	0.1	1.34	0.4
N	intelligence	logic	inteligență	logică	1	2.24	1.72	6.5	4.4	4.58	0.51	0.53	0.34	0.68	0.12	2	0.62	0.17	1.85	0.67
N	communication	language	comunicare	limbă	1	2.9	2.35	7.47	4.58	2.92	0.33	0.36	0.34	0.42	0.25	3	0.75	0.5	2.94	0.86
N	mink	fur	nurcă	blană	1	4.58	4.69	6.83	3.2	2.08	0.59	0.63	0.53	0.85	0.14	2.19	0.71	0.5	2.94	0.95
N	mob	crowd	gloată	mulțime	1	3.88	4.52	7.85	8.68	9.58	0.55	0.57	0.28	0.63	1	4	1	0.5	2.94	0.92
N	shore	coast	țărm	coastă	1	4.79	4.21	8.83	6.13	9.58	0.54	0.6	0.38	0.77	1	4	1	0.5	2.94	0.91
N	wire	cord	sârmă	cablu	1	4.72	4.63	7.62	4	7.5	0.36	0.36	0.16	0.4	0.11	1.83	0.53	0.33	2.54	0.89
N	bird	turkey	pasăre	curcan	1	5	4.89	6.58	3.77	2.08	0.55	0.6	0.33	0.54	0.25	3	0.84	0.33	2.54	0.88
N	bed	crib	pat	pătuț	1	5	4.86	7.3	6.13	6.67	0.55	0.62	0.37	0.61	0.17	2.42	0.75	0.2	2.03	0.8
N	competence	ability	competență	abilitate	1	1.78	1.81	7.5	9.12	9.17	0.4	0.45	0.41	0.5	0.33	3.42	0.91	0.5	2.94	0.91
N	cloud	haze	nor	pâclă	1	4.54	4.04	7.32	3.2	3.75	0.57	0.57	0.37	0.64	0.17	2.42	0.71	0.33	2.54	0.88
N	supper	meal	cină	masă	1	4.63	4.62	7.53	4.85	5.42	0.49	0.55	0.43	0.68	0.33	3.42	0.91	0.5	2.94	0.93
N	bar	cage	gratie	cușcă	1	4.67	5	2.8	4.03	2.92	0.2	0.28	0.03	0.11	0.14	2.19	0.62	0.2	2.03	0.78
N	water	salt	apă	sare	1	5	4.89	1.3	0.88	0	0.51	0.6	0.26	0.51	0.25	3	0.86	0.25	2.25	0.84
N	sense	intuition	simț	intuiție	1	2.61	1.67	7.68	7.33	7.92	0.56	0.58	0.34	0.71	0.33	3.42	0.93	0.14	1.69	0.62
N	situation	condition	situație	condiție	1	2.03	2.15	6.58	5.38	5.83	0.42	0.44	0.39	0.76	0.33	3.42	0.92	0.5	2.94	0.91
N	crime	theft	infracțiune	furt	1	3.03	2.93	7.53	5.63	3.33	0.46	0.48	0.43	0.62	0.25	3	0.9	0.33	2.54	0.9
N	style	fashion	stil	modă	1	2.67	3.43	8.5	6.23	7.08	0.47	0.47	0.26	0.38	0.09	1.54	0.31	1	3.64	1
N	boundary	border	limită	frontieră	1	3.04	4.29	9.08	7.1	8.75	0.2	0.21	0.29	0.47	1	4	1	0.5	2.94	0.93
N	arm	body	braț	corp	1	4.96	4.79	4.05	2.77	1.25	0.35	0.37	0.13	0.39	0.2	2.68	0.73	0.25	2.25	0.8
N	boat	car	barcă	mașină	1	4.93	4.89	2.37	1.32	0.83	0.48	0.56	0.26	0.68	0.12	2	0.67	0.2	2.03	0.78
N	sandwich	lunch	sandviș	prânz	1	4.9	4.31	6.3	2.05	1.25	0.56	0.62	0.37	0.64	0.14	2.19	0.62	0.17	1.85	0.71
N	bride	princess	mireasă	prințesă	1	4.63	4.72	2.8	1.92	1.67	0.6	0.69	0.38	0.57	0.11	1.83	0.59	0.12	1.56	0.57
N	heroine	hero	eroină	erou	1	4.21	3.07	8.78	4.58	6.67	0.6	0.66	0.4	0.54	0.14	2.19	0.67	0.33	2.54	0.92
N	insect	bee	insectă	albină	1	4.89	4.88	6.07	4.12	2.08	0.55	0.64	0.46	0.77	0.25	3	0.89	0.33	2.54	0.91
N	crib	cradle	pătuț	balansoar	1	4.86	4.93	8.55	2.45	0.83	0.55	0.59	0.33	0.58	0.14	2.19	0.71	0.33	2.54	0.9
N	animal	person	animal	persoană	1	4.61	4.72	3.05	0.95	0	0.26	0.27	0.32	0.35	0.25	3	0.8	0.33	2.54	0.86
N	marijuana	herb	marijuana	iarbă	1	4.89	4.57	6.5	7.2	7.5	0.32	0.43	0.31	0.34	0.33	3.42	0.92	0.17	1.85	0.76
N	bed	hospital	pat	spital	1	5	4.64	0.92	1.73	1.25	0.47	0.46	0.47	0.43	0.12	2	0.53	0.17	1.85	0.67
N	cheek	tongue	obraz	limbă	1	4.83	4.93	4.52	1.45	0.83	0.25	0.24	0.23	0.22	0.17	2.42	0.6	0.25	2.25	0.77
N	curve	angle	curbă	unghi	1	4.41	3.5	3.33	2.02	0.42	0.47	0.51	0.38	0.59	0.17	2.42	0.67	0.17	1.85	0.62
N	grass	moss	iarbă	mușchi	1	4.93	4.9	5	2.3	0.83	0.4	0.49	0.28	0.61	0.17	2.42	0.75	0.12	1.56	0.63
N	school	law	școală	lege	1	4.79	2.57	1.13	1.42	0	0.18	0.19	0.01	0.16	0.14	2.19	0.67	0.17	1.85	0.67
N	orthodontist	dentist	ortodont	dentist	1	4.43	4.93	8.27	6.57	7.92	0.4	0.38	0.64	0.77	0.33	3.42	0.95	0.5	2.94	0.96
N	alcohol	whiskey	alcool	whiskey	1	4.76	4.74	7.27	4.82	2.5	0.41	0.43	0.47	0.58	0.25	3	0.83	0.33	2.54	0.9
N	mouth	tooth	gură	dinte	1	4.74	4.89	6.3	2.92	1.25	0.37	0.45	0.16	0.4	0.14	2.19	0.55	0.2	2.03	0.75
